"X","MAPPED_GENE","ENSID","Trait","SNPs","Category","n_categories"
20,"FAP","ENSG00000078098","Systemic lupus erythematosus, White blood cell count, Creatinine levels, Uric acid levels, Response to paliperidone in schizophrenia (negative Marder score), FAP protein levels, ADM protein levels, ADAMTSL4 protein levels, Serum creatinine levels, Prolyl endopeptidase FAP levels, IFNL1 protein levels, Glomerular filtration rate, Autoimmune traits, Estimated glomerular filtration rate, Serum levels of protein GCA, Psoriasis, Type 2 diabetes (PheCode 250.2), Triglyceride levels, Weight, Body mass index",30,"Metabolic, Inflammatory, Neurological",3
21,"FBLN5","ENSG00000140092","Gut microbiota (bacterial taxa, hurdle binary method), Pallidum volume change rate x age interaction (2df), Diastolic blood pressure, Pulse pressure, diastolic blood pressure (DBP, mean, inv-normal transformed), Waist circumference adjusted for body mass index, Blood pressure (pleiotropy model 1 DBP adjusted for estimated causal effects x SBP), Blood pressure (pleiotropy model 2 SBP adjusted for estimated causal effects x DBP), Height (baseline), Glioblastoma, Fibulin-5 levels, Height, Hip circumference adjusted for BMI, Optic disc size, Fibulin-5 (analyte X15585.304) levels, Fibulin-5 (analyte X10738.11) levels, Essential tremor, Descending aorta distensibility (MTAG), Descending aorta distensibility, Descending aorta strain, Gut microbiome abundance (class Parasutterella sp. 1 (at 1 year) x Household furry pet dog (1 Year) interaction, Personal history of allergy to medicinal agents (PheCode 977)",35,"Metabolic, Cardiovascular, Liver",3
22,"FMOD","ENSG00000122176","Mumps, fibromodulin levels, CHIT1 protein levels, Serum levels of protein FMOD, fibromodulin level in Chronic kidney disease with hypertension and no diabetes (6367_66), Body mass index, Height",9,"Metabolic, Cardiovascular",2
24,"GAS6","ENSG00000183087","Red blood cell count, Red cell distribution width, Low density lipoprotein cholesterol levels, Aspartate aminotransferase levels, Serum alkaline phosphatase levels, Lymphocyte count, MFGE8 protein levels, SELPLG protein levels, PTPRB protein levels, Mean reticulocyte volume (UKB data field 30260), Red blood cell erythrocyte distribution width (UKB data field 30070), Red blood cell erythrocyte count (UKB data field 30010), Oligodendroglioma, Growth arrest-specific protein 6 levels, Glycated hemoglobin levels, Liver enzyme levels (alkaline phosphatase), Triglycerides in very small VLDL, Triglycerides in small LDL, Ratio of apolipoprotein B to apolipoprotein A1 levels, Aspartate aminotransferase levels (UKB data field 30650), Hemoglobin, Total lipids in small VLDL, HDL cholesterol levels (UKB data field 30760), Free cholesterol in small VLDL, IGF 1 (UKB data field 30770), Glycated haemoglobin HbA1c levels (UKB data field 30750), Phospholipids in small VLDL, Total cholesterol in small VLDL, Apolipoprotein B levels, Triglycerides in IDL, Myopia (age of diagnosis), Hematocrit, Hemoglobin concentration, Cholesterol levels in small LDL, Concentration of large LDL particles, Free cholesterol levels in medium VLDL, Cholesteryl ester levels in small LDL, Phospholipid levels in medium VLDL, Concentration of medium VLDL particles, Free cholesterol levels in very small VLDL, Phospholipid levels in very small VLDL, Cholesterol levels in large VLDL, Cholesteryl ester levels in large VLDL, Concentration of LDL particles, Cholesterol levels in medium VLDL, Cholesteryl ester levels in small VLDL, Phospholipid levels in small VLDL, Free cholesterol levels in VLDL, Cholesterol levels in very large VLDL, Total lipid levels in small LDL, Cholesterol levels in small VLDL, Cholesteryl ester levels in VLDL, VLDL cholesterol levels, Phospholipid levels in VLDL, Phospholipid levels in small LDL, Concentration of small LDL particles, Free cholesterol levels in small VLDL, Cholesteryl ester levels in very large VLDL, Non-HDL cholesterol levels, Triglyceride levels, Total cholesterol levels, Hemoglobin A1c levels, Concentration of medium VLDL particles (UKB data field 23502), Systolic blood pressure, Gut microbial network clusters (SkyBlue (at 3 months) x Any Breastfeeding (3 Months) interaction, Triglycerides in LDL, Triglycerides in medium LDL, Monounsaturated fatty acids to total fatty acids percentage, Phospholipids to Total Lipids in Large VLDL percentage, Free Cholesterol to Total Lipids in Small LDL percentage, Phospholipids to Total Lipids in IDL percentage, Total bilirubin levels, Triglycerides in large LDL, Low-density lipoprotein levels, Phospholipids to Total Lipids in Very Small VLDL percentage",103,"Metabolic, Cardiovascular, Liver",3
27,"IGFBP4","ENSG00000141753","Whole body fat free mass (UKB data field 23101), Sex hormone-binding globulin levels, White blood cell count, Atopic asthma, Height",6,"Inflammatory, Liver",2
28,"IL1R2","ENSG00000115590","Hormone measurements, 2-palmitoylglycerophosphocholine levels (Metabolon platform), IL1R2 protein levels, Interleukin-1 receptor type 2 levels, IL1RL1 protein levels, IL1RL2 protein levels, IL18R1 protein levels, Interleukin-1 receptor type 2 levels (IL1R2.14133.93.3), Glucuronate levels in elite athletes, Blood protein levels, Serum levels of protein IL1R2, Interleukin-1 receptor type 2 (analyte X14133.93) levels, Interleukin-1 receptor type 2 level in Chronic kidney disease with hypertension and no diabetes (14133_93), IL 1RII plasma levels",25,"Metabolic, Cardiovascular",2
30,"JAG1","ENSG00000101384","Bone mineral density, Lumbar spine bone mineral density, Red blood cell count, Brain morphology (MOSTest), Subcortical volume (MOSTest), Brain morphology (min-P), Subcortical volume (min-P), Eosinophil count, Heel bone mineral density, Monocyte count, Lymphocyte count, Bone density T-score, Diastolic blood pressure, Pulse pressure, Bone density Z-score, CALCA protein levels, PSPN protein levels, SCGB1A1 protein levels, Vertex-wise cortical thickness, Reticulocyte percentage (UKB data field 30240), Bone stiffness index, Corpus callosum volume (MOSTest), Gamma glutamyl transferase levels, Skull bone mineral density, Fornix white matter microstructure (isotropic or free water volume fraction), Corpus callosum Mid-posterior volume, Corpus callosum mid-anterior volume, Corpus callosum central volume, Corpus callosum volume, Serum urate levels, T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 123), T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 87), Height, Urate levels (UKB data field 30880), Diastolic blood pressure (UKB data field 4079), Gout, Brain shape (segment 3), Cortical surface area, Cortical thickness, Body size (confirmatory factor analysis Factor 21), Urate levels, Cataracts, Hemoglobin A1c levels, Immature reticulocyte fraction (UKB data field 30280), Hematocrit, High light scatter reticulocyte count (UKB data field 30300), High light scatter reticulocyte percentage (UKB data field 30290), Total body bone mineral density, White blood cell count, White matter microstructure (axial diusivities), White matter microstructure (mode of anisotropy), High light scatter reticulocyte count, High light scatter reticulocyte percentage of red cells, Immature fraction of reticulocytes, Appendicular lean mass, Whole brain restricted directional diffusion (multivariate analysis), Serum uric acid levels, Vertex-wise cortical surface area, Vertex-wise sulcal depth, Bone mineral density (spine), Bone mineral density (femoral neck), Dupuytren's disease, Volume of right accessory basal nucleus, Contracture of palmar fascia [Dupuytren's disease] (PheCode 728.71)",102,"Cardiovascular, Liver, Neurological",3
31,"LDHB","ENSG00000111716","Direct bilirubin levels, Tanner 3 to Tanner 4 pubertal stage transition (joint longitudinal BMI and survival model), Total bilirubin levels, Pyruvate levels",5,"Metabolic, Liver",2
32,"MASP1","ENSG00000127241","Amyotrophic lateral sclerosis (sporadic), Protein quantitative trait loci (liver), MENT protein levels, MASP1 protein levels, FCN1 protein levels, Bone mineral density mean, Mannan-binding lectin serine protease 1 levels, Kidney-associated antigen 1 levels, Complement factor D levels, CFD protein levels, Blood protein levels, Serum levels of protein MASP1, Serum levels of protein CFD, Serum levels of protein SUN5, Type 2 diabetes, Ascending aorta diameter, Descending aorta minimum area, Ascending aorta maximum area (MTAG), Descending aorta maximum area (MTAG), Descending aorta distensibility (MTAG), Descending aorta distensibility, Descending aorta maximum area, Ascending aorta maximum area, Connective tissue growth factor levels, Descending thoracic aortic diameter, Ascending thoracic aortic diameter, Height, Descending aorta strain, Descending aorta diameter, Interleukin-1 beta levels",43,"Metabolic, Liver",2
34,"MX1","ENSG00000157601","IgG glycosylation, Alanine aminotransferase levels in low alcohol consumption, Age-related diseases and mortality, Age-related diseases, mortality and associated endophenotypes, Interferon-induced GTP-binding protein Mx1 levels, Body mass index in cystic fibrosis, Gut microbial network clusters (Pink (at 1 year) x Any Breastfeeding (3 Months) interaction, Immunoglobulin superfamily containing leucine-rich repeat protein 2 protein levels (SomaScan ID:17460-51)",9,"Metabolic, Liver",2
35,"NCR3LG1","ENSG00000188211","NCR3LG1 protein levels, NUCB2 protein levels, Systolic blood pressure, Diastolic blood pressure, Pulse pressure, Random glucose levels, Systolic blood pressure (MTAG), Aspartate aminotransferase levels",13,"Metabolic, Cardiovascular, Liver",3
36,"NFASC","ENSG00000163531","Clozapine-induced agranulocytosis, Amyotrophic lateral sclerosis (sporadic), Platelet count, Mean platelet volume, High myopia, Mean corpuscular hemoglobin, Disrupted circadian rhythm (low relative amplitude of rest-activity cycles), Shingles, NFASC protein levels, Mean platelet thrombocyte volume (UKB data field 30100), COVID-19 (hospitalized covid vs population), Platelet count (UKB data field 30080), Contactin-2 levels, Choline levels, Risk-taking behavior (multivariate analysis), eGFR decline after treatment with platinum based chemotherapy, Leprosy, Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy), Neurofascin levels, Severe COVID-19 infection, COVID-19 (hospitalized vs not hospitalized), Educational attainment, NFASC/PLXNB2 protein level ratio, Externalizing behaviour (multivariate analysis), Neurofascin levels (NFASC.7179.69.3), CNTN2 protein levels, Adventurousness, General risk tolerance (MTAG), Number of sexual partners, Blood protein levels, Serum levels of protein NFASC, Biological sex, Educational attainment (MTAG), Age at first sexual intercourse, COVID-19 (covid respiratory support vs population), Conotruncal heart defects with normally related great vessels (without 22q.11.2 deletion syndrome), Conotruncal heart defects with normally related great vessels, Essential tremor, Schizophrenia, Interleukin-17B protein levels (SomaScan ID:7179-69)",65,"Cardiovascular, Neurological",2
